_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,ID,X,Y,LONGITUDE,LATITUDE,OBJECTID,geometry,MID_BLOCK,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,SIDE2,CLIENT_STREET_2,CLIENT_STREET_1,SIDE1,MI_PRINX,PRIVATE_ACCESS,TCS,ADDITIONAL_INFO,POLICE_DIVISION_1,WARD_1,WARD_3,WARD_2,WARD_4,NAME,DISTRICT,RLC,MAIN
4787,13442522.0,Neilson Rd,McLevin Ave,110,327193.945,4852171.903,-79.22165799999999,43.809173,110,"{u'type': u'Point', u'coordinates': (-79.2216579987, 43.8091730021)}",,,,2017-06-05T04:00:00,,MCLEVIN AVE,NEILSON RD,MCLEVIN AVE,110,,1339,,42,Scarborough North(23),,Scarborough-Rouge Park(25),,Neilson Rd And Mclevin Ave,Scarborough,6119,NEILSON RD
4788,13467394.0,Simcoe St,Wellington St W,111,314032.183,4834018.663,-79.385561,43.646053,111,"{u'type': u'Point', u'coordinates': (-79.3855610006, 43.6460530113)}",,,,2017-08-08T04:00:00,,WELLINGTON ST W,SIMCOE ST,WELLINGTON ST W,111,,264,,52,Spadina-Fort York(10),,,,Simcoe St And Wellington St W,Toronto and East York,6120,SIMCOE ST
4789,13448840.0,Jane St,Stong Crt,112,303284.48699999996,4846884.423,-79.518822,43.761917,112,"{u'type': u'Point', u'coordinates': (-79.5188219995, 43.7619170059)}",,,,2017-10-20T04:00:00,YORK GATE BLVD,STONG CRT,JANE ST,STONG CRT,112,,972,,31,Humber River-Black Creek(7),,,,Jane St And Stong Crt / York Gate Blvd,Etobicoke York,6121,JANE ST
4790,13446514.0,Ellesmere Rd,Bellamy Rd N,113,325588.795,4848296.148,-79.241759,43.774334,113,"{u'type': u'Point', u'coordinates': (-79.2417590067, 43.7743339999)}",,,,2017-03-10T05:00:00,,BELLAMY RD N,ELLESMERE RD,BELLAMY RD N,113,,700,,43,Scarborough-Guildwood(24),,,,Ellesmere Rd And Bellamy Rd N,Scarborough,6122,ELLESMERE RD
4791,13450163.0,Lawrence Ave E,Kennedy Rd,114,322925.653,4845529.051,-79.274934,43.749497,114,"{u'type': u'Point', u'coordinates': (-79.2749340071, 43.7494969991)}",,,,2017-03-10T05:00:00,,KENNEDY RD,LAWRENCE AVE E,KENNEDY RD,114,,412,,41,Scarborough Centre(21),,,,Lawrence Ave E And Kennedy Rd,Scarborough,6123,LAWRENCE AVE E
4792,13454488.0,Warden Ave,Comstock Rd,115,322123.613,4842420.1,-79.284993,43.721532,115,"{u'type': u'Point', u'coordinates': (-79.2849930049, 43.721532)}",,,,2017-03-10T05:00:00,,COMSTOCK RD,WARDEN AVE,COMSTOCK RD,115,,690,,41,Scarborough Southwest(20),,,,Warden Ave And Comstock Rd,Scarborough,6124,WARDEN AVE
4793,13443955.0,Sheppard Ave E,Malvern St,116,326131.23,4850556.265,-79.234931,43.794662,116,"{u'type': u'Point', u'coordinates': (-79.2349310078, 43.7946620094)}",,,,2017-05-03T04:00:00,PROGRESS AVE,MALVERN ST,SHEPPARD AVE E,MALVERN ST,116,,1568,,42,Scarborough North(23),,,,Sheppard Ave E And Malvern St / Progress Ave,Scarborough,6125,SHEPPARD AVE E
4794,13456668.0,Rexdale Blvd,Kipling Ave,117,299424.787,4841307.839,-79.566702,43.711703,117,"{u'type': u'Point', u'coordinates': (-79.5667019991, 43.7117030085)}",,,,2017-10-20T04:00:00,,KIPLING AVE,REXDALE BLVD,KIPLING AVE,117,,732,,23,Etobicoke North(1),,,,Rexdale Blvd And Kipling Ave,Etobicoke York,6126,REXDALE BLVD
4795,13458367.0,Weston Rd,Lawrence Ave W,118,303494.184,4840023.2069999995,-79.516201,43.700158,118,"{u'type': u'Point', u'coordinates': (-79.5162009996, 43.7001579982)}",,,,2017-10-20T04:00:00,,LAWRENCE AVE W,WESTON RD,LAWRENCE AVE W,118,,431,,12,York South-Weston(5),,,,Weston Rd And Lawrence Ave W,Etobicoke York,6127,WESTON RD
4796,13452733.0,Islington Ave,Albion Rd,119,299539.599,4844144.356000001,-79.56530500000001,43.737235999999996,119,"{u'type': u'Point', u'coordinates': (-79.565305007, 43.7372359966)}",,,,2017-06-19T04:00:00,,ALBION RD,ISLINGTON AVE,ALBION RD,119,,717,,23,Etobicoke North(1),,,,Islington Ave And Albion Rd,Etobicoke York,6128,ISLINGTON AVE
4797,13469672.0,The Queensway,Islington Ave,120,303606.961,4831517.1219999995,-79.514783,43.623591999999995,120,"{u'type': u'Point', u'coordinates': (-79.514782999, 43.6235920007)}",,,,2018-02-16T05:00:00,,ISLINGTON AVE,THE QUEENSWAY,ISLINGTON AVE,120,,567,,22,Etobicoke-Lakeshore(3),,,,The Queensway And Islington Ave,Etobicoke York,6129,THE QUEENSWAY
4798,,,,121,311230.822,4850895.951,-79.420084,43.797999,121,"{u'type': u'Point', u'coordinates': (-79.4200839984, 43.7979990068)}",,,,2017-08-11T04:00:00,,STEELES AVE,YONGE ST,STEELES AVE,121,,131,,32,Willowdale(18),,,,Yonge St And Steeles Ave,North York,6130,YONGE ST
4799,13463893.0,St Clair Ave W,Runnymede Rd,122,306125.44399999996,4836560.936000001,-79.483564,43.668993,122,"{u'type': u'Point', u'coordinates': (-79.4835639906, 43.6689929997)}",,11.0,,2017-08-11T04:00:00,,RUNNYMEDE RD,ST CLAIR AVE W,RUNNYMEDE RD,122,,494,,12,York South-Weston(5),,,,St Clair Ave W And Runnymede Rd,Etobicoke York,6131,ST CLAIR AVE W
4800,13453141.0,Warden Ave,Ashtonbee Rd,123,321817.338,4843439.068,-79.288762,43.730711,123,"{u'type': u'Point', u'coordinates': (-79.2887619944, 43.7307110017)}",,,,2017-03-13T04:00:00,,ASHTONBEE RD,WARDEN AVE,ASHTONBEE RD,123,,1377,,41,Scarborough Centre(21),,,,Warden Ave And Ashtonbee Rd,Scarborough,6132,WARDEN AVE
